Car Name,Price,Mileage,Transmission,Location,Link
2022 RAV4 XLE AWDStandard Package,"$35,588","43,843 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.c6d9957ccff9ed01a27948fde2d51e6634fcc5b45cfe49cbcd9e1be1fc61cc7bde0fba77a2047c949ac1d2d3018287b4.html
2022 RAV4 Hybrid LE AWDStandard Package,"$36,388","46,598 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.92d432c06dfcd49bc64a1be556281b2e9f95acfc16e055e3559ec9e541ff29fe089485e0aa5ace1a0912f1de7e34dfae.html
2023 RAV4 LE AWDStandard Package,"$34,188","13,060 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.84a4ae0cfe982df0ce41d8233be2b95a9d043507ec8f3109b4c66dd331660f7e6cc532dbfa4069eaaf619acbae2a8e2e.html
2023 RAV4 XLE AWDXLE Premium AWD,"$38,188","28,672 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.80c5e7c911c623b8a32aee01d38e8eebd06d229765db0d63b5c93f917a0b047de408c9c287383fafb92637f2725a292c.html
2023 RAV4 XLE AWDXLE Premium AWD,"$37,388","40,622 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.b6ded9a938052f0695accacd60d5cc8455a27a4456efc4256467a90df6cee1bb84db4fea0641ecdd8039c408f644bfee.html
2023 RAV4 Hybrid LE AWDStandard Package,"$35,888","75,130 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.abf614da8a3aa2fbc457b47e00a891561d6a8765204e41890135cf2a619fdc899684e6186942751fa32118f1db2fc0fc.html
2024 RAV4 Hybrid XSE AWDXSE Technology Package,"$48,188","50,603 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.72acb480240cb385a5f29712b9d90da169aa6b69f344878fa684176af92759477b71f5e5ee6dae9ba7b1b17f50cec812.html
2024 RAV4 Hybrid Limited AWDStandard Package,"$51,888","5,242 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.316a68093d5c30a388677bb9e5cae039e7672060de92007fa707e5e0f0124fc1b6b0f7c0ab073081442a66e0fecf2f9b.html
2024 RAV4 Hybrid XSE AWDStandard Package,"$47,998","27,920 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.544282cf271279b724483a3bcbc6e7aab7c557386517724c2115f0f2193a14bb407302ca1732038cb3800f515cc3c29b.html
2024 RAV4 Hybrid XSE AWDStandard Package,"$49,688","20,150 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.a72981f81439639cd8a3b6b57a366b1b60e6af87e02c45957cc1539dc6bfca91daa9e91e2c8a07160991b917359a36e8.html
2024 RAV4 Hybrid XSE AWDStandard Package,"$49,188","17,460 km",Automatic,"14  km away  Don Valley North Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.3b3d705b4c72088b66497f3286dc28ee45ed5f4f3a4f1a899d727338b23d81bbf7fe7b00d3465c5991d27d6e22ea2396.html
2018 RAV4 FWD LELE UPGRADE/OPTIONAL - 3T3 RUBY RED EXTERIOR,"$20,888","92,860 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.932205e1c9f1722fa6e59e5a97f14ea8dddbfe769da5cfea0cb98d398b3102b69a9c9fd8b499fe272021b04e59efc762.html
2020 RAV4 XLE AWDStandard Package,"$32,888","11,932 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.3366da45e27ae32447b5f8f811d20b3f675bd4903d559055fa625a708283d4b173c73ddf59f7889ca58589ab43753d81.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$41,888","37,868 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.82699723fd34e8889c2f3444f22a656bcdc1a77e833f5a5532bb4d45d08ff7096b59819f4758055a2acf427e9a91d973.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$34,888","173,270 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.20d669cf45e30f9c6259402d9663da7276ab3eb57f1ce6b9d6489313d0928c6e0ab00e7637e0855f0fe51956299ea808.html
2024 RAV4 XLE AWDStandard Package,"$36,888","70,100 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.ceea9d28bb7cfc2f932b24ac5ddd4972c2cd239d339b654d1a435fe4da4b49959414c5ac8533c9f7a44a21238b0c2675.html
2024 RAV4 Hybrid LE AWDStandard Package,"$37,888","34,688 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.de41c4ea98fd721e0a9e104cce34b491ad51c3980a34a1d82a0083fe3fbede2e8023e43a7a7ec19d2b5c1ae7dc4e240f.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$40,888","69,021 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.abf8fb947d769bff73f51d957ec901e64e4909f795ef888578544fb83f10cfa08f555b634d9fffde7ae2b5fa6dc997ca.html
2024 RAV4 Hybrid SE AWDStandard Package,"$44,588","14,627 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.13b3e55dccb3ed424db2bca9377317ba5b592da91220fa8a0129a92db4567ed9ac2dbf22aa61554d3a4c3a5d0fea3d18.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$43,888","13,123 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.0196da10e9500e98ab908fb28b4474df997ec1880839b26dcbaab189fad2152c056711c0a1b76a16cc33f8c68f6c4e25.html
2025 RAV4 Hybrid XLE AWDStandard Package,"$46,888","3,800 km",Automatic,"18  km away  Thornhill Toyota, Vaughan, ON",https://certifiedtoyota.ca/en/vehicle-details.c0197d92904ee81c4a1d8b2cf25d358c55af002f2fa06bcf2fb1e41f17196f8ee1b912de638b2e3b82d2de3fc8bcf251.html
2021 RAV4 Limited AWDStandard Package,"$35,399","35,925 km",Automatic,"19  km away  Markville Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.5f6d9ca9a05485834556d87876259c75e482c0c6a0ac910c357f29ea781b23b0f0cdcdc5bbd460493d66c07660c94e90.html
2022 RAV4 XLE AWDStandard Package,"$36,388","17,397 km",Automatic,"19  km away  Markville Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.dc204eedbae4b6073376d2574e9d6efc8b3e8d49bae63bf1e211a4c557e6454606bb6b786628241a2763559e48ae411d.html
2022 RAV4 XLE AWDStandard Package,"$33,700","42,434 km",Automatic,"19  km away  Markville Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.977be031d03793731cb314c235183364d9e2c274fdc60c1b4da4dde3ca588e9670e5355806c88e406bc876f16f53595d.html
2023 RAV4 XLE AWDStandard Package,"$36,800","10,774 km",Automatic,"19  km away  Markville Toyota, Markham, ON",https://certifiedtoyota.ca/en/vehicle-details.7175d9ab1f4195262758574911c5a325ef6f9e505d698a4b9d7e2539c5a0a406ddfe0ff396601dbabb3a5c64dd4e55e0.html
2022 RAV4 Hybrid LE AWDStandard Package,"$35,500","52,755 km",Automatic,"30  km away  Stouffville Toyota, Stouffville, ON",https://certifiedtoyota.ca/en/vehicle-details.669adf05ad1d4fdb9448483e30ef6645e68f9dd8574055b677197e3e2a073dc5d2e1dd6738dbce1f03830f2272e10654.html
2022 RAV4 Hybrid XSE AWDStandard Package,"$39,500","60,833 km",Automatic,"30  km away  Stouffville Toyota, Stouffville, ON",https://certifiedtoyota.ca/en/vehicle-details.e2eede2af72245558de14db3107ee6eb733b4126645dc63b978826f9398f2e6c4c8385ea0434287c8ac3a0e59e65ae62.html
2023 RAV4 LE AWDStandard Package,"$35,500","26,260 km",Automatic,"30  km away  Stouffville Toyota, Stouffville, ON",https://certifiedtoyota.ca/en/vehicle-details.ad72e8291737cbdab4134a10ee5d45bbee207e78793b0f6551393de3a46748aaea6ad333df9dbdabe08e5ea0112b9855.html
2024 RAV4 Hybrid XSE AWDXSE Technology Package,"$55,500","8,509 km",Automatic,"30  km away  Stouffville Toyota, Stouffville, ON",https://certifiedtoyota.ca/en/vehicle-details.589e4cc32e76a428b25a58174d4e0c3bf42eaf16f7f4747ea78ce59687f6f9647058d94ace27d0384da695e9e966dd94.html
2020 RAV4 LE AWDStandard Package,"$27,900","85,516 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.4db9c9ea8726609954e156d7b9931c23ce138c60b483cc9204615e45a81fd33dd182208509cd4fcdc51bc6d09be1dcce.html
2022 RAV4 XLE AWDStandard Package,"$33,500","96,759 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.7b13a619507a36e68b2b9708cd5167601f924ec4f04ba6c4bb5ffb7ba0a0f7adec631ccd5d86e8b87c5512e261c45844.html
2022 RAV4 XLE AWDStandard Package,"$35,900","32,015 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.ebe1845a659dc48d54ffe60cb1470c5cecf14db6ec103f199b24f5d406936f6db7cbd2e7dd97b29204daf5cb51434566.html
2022 RAV4 XLE AWDStandard Package,"$35,500","46,800 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.d3b1749ccb5c2028f154d9374c3200be5b303d02ee09077967f04728a0cebf7166247398d842e3189c346910fd949d26.html
2023 RAV4 XLE AWDXLE Premium AWD,"$37,900","78,615 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.137e9cd65a95aefb6687e4d58105984554af8a3f1b5c19583a5449f2982d4929fa31a439936a9419bf7977af20b2082b.html
2023 RAV4 XLE AWDXLE Premium AWD,"$38,900","40,926 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.49c4b416d85a21d86d72ebfac28c18b05e79f2834ebc508d086ea36a716ffab41e8dc03c154486f8462416f00560ec1b.html
2023 RAV4 XLE AWDXLE Premium AWD,"$39,500","54,709 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.e83b143a217b03d0bfe2462ac7e7093784e3faa887ee8f3cad4b70d74127121fe99016a887415a4673ac58bb634940c9.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$44,900","18,211 km",Automatic,"33  km away  Brampton East Toyota, Brampton, ON",https://certifiedtoyota.ca/en/vehicle-details.64dd24d8100d3e4182b2dff9362fc58de88f848d1bb78ea0a70b06440895cf5312643464f353ba32c58e38dd1f4c9393.html
2024 RAV4 LE AWDStandard Package,"$35,500","17,295 km",Automatic,"33  km away  Brampton East Toyota, Brampton, ON",https://certifiedtoyota.ca/en/vehicle-details.0fb575786b48977739570322889566c03d3f1fd2e72fa2c64b2e968e2781ceeec1625a5efb6f7124adfcfe03f7a8bf3b.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$49,900","7,593 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.d3730bae0a192ecb5d9d494f1dfc8b59ce77ae2aaec9a7026d961fe0980052c98b0e9b3c7f6e7821a406ab07d386e106.html
2024 RAV4 Hybrid XLE AWDRAV4 Hybrid XLE Premium,"$50,900",538 km,Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.90e141c786daf9d6ee89d804e50a7d622a0c568c5f0a33774ee7e801c5ab4cc6f3cd9686f53405506c10cc65475f0ed1.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$49,900","10,790 km",Automatic,"33  km away  Whitby Toyota, Whitby, ON",https://certifiedtoyota.ca/en/vehicle-details.dc97b9d74e5806672faf802718e8ccd65c98852cc34374595d4a3c908d86bcfae74e401cbd8ea89ae413893dcf8ee4e9.html
2022 RAV4 LE AWDStandard Package,"$34,982.50","24,726 km",Automatic,"36  km away  Erin Park Toyota, Mississauga, ON",https://certifiedtoyota.ca/en/vehicle-details.d056946fe59cb2f02d1b2d6eafa4fd7ed7809b316172aaef674515a4cc8b78d9c6120cccb65ddb1445e4bd3a23756c23.html
2022 RAV4 XLE AWDStandard Package,"$35,982.50","61,284 km",Automatic,"36  km away  Erin Park Toyota, Mississauga, ON",https://certifiedtoyota.ca/en/vehicle-details.4e273bf8057669e31315c9ef5470d1cc3c0fa6086ef2d3236f66758e482661881c0a4ba540e65afd480f82aff5c1ad80.html
2022 RAV4 XLE AWDStandard Package,"$36,982.50","25,991 km",Automatic,"36  km away  Erin Park Toyota, Mississauga, ON",https://certifiedtoyota.ca/en/vehicle-details.535ca8b156634f9ff09e66fc41709aff774544071ec220c8bf164432fa3feb9c4516f89b73f55687574ae532b13e864f.html
2024 RAV4 XLE AWDStandard Package,"$39,982.50","16,465 km",Automatic,"36  km away  Erin Park Toyota, Mississauga, ON",https://certifiedtoyota.ca/en/vehicle-details.11fbc8ddfb0a374c35722a3b05bed5956911e1b1835098fb83dc56283825d6ee24260ff34c69d022bec9dae590ccfef8.html
2023 RAV4 XLE AWDStandard Package,"$37,888","33,799 km",Automatic,"37  km away  Bolton Toyota, Bolton, ON",https://certifiedtoyota.ca/en/vehicle-details.0fef5f4591410cba5ec9b66a64c2996e6d0300a56132aca1f77e59dd715712efa749b4bf328207e4dc30c0b524dcf31b.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,"$41,999","21,641 km",Automatic,"37  km away  Bolton Toyota, Bolton, ON",https://certifiedtoyota.ca/en/vehicle-details.b45efcf13c21452d9b5801e1b5ff42727c3ec96725ce08224e673c29b0968c6eb885a5fbc295a38719b4230eaf6fe2c7.html
2023 RAV4 LE AWDStandard Package,"$33,499","37,544 km",Automatic,"37  km away  Bolton Toyota, Bolton, ON",https://certifiedtoyota.ca/en/vehicle-details.01a6e78b99d85d51999b578c6dae2bb7d8988841f80d83f6b82f1951b97ec55b4f1a3ea71a2ac335b0c9427783f08fed.html
2024 RAV4 LE AWDStandard Package,"$35,299","20,599 km",Automatic,"37  km away  Bolton Toyota, Bolton, ON",https://certifiedtoyota.ca/en/vehicle-details.ac3de7c92866e2af19eaa41db84ae6d63e38add34b3145b1d47125363a05b542bce2df6eca84af3d719de7e6c6d35e91.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$42,499","60,950 km",Automatic,"37  km away  Bolton Toyota, Bolton, ON",https://certifiedtoyota.ca/en/vehicle-details.b654bc65f3b3915769dc50527cdb6c9137cde41a482acd67405e00d498f00a34c2b191f0f9d3557ff5b0e8158580e68b.html
2023 RAV4 Hybrid XSE AWDStandard Package,"$45,995","44,856 km",Automatic,"40  km away  Attrell Toyota, Brampton, ON",https://certifiedtoyota.ca/en/vehicle-details.30b06b67b6618f25f5908bb0e4b06e1183477fee20a90cbffa73622e01f21b818577d2265d256f3c205574b824774e90.html
2021 RAV4 Hybrid XLE AWDStandard Package,"$38,258.50","58,383 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.9c9201a437f06f1d92021216a1c63f0773b449bacbb601333cdb2d642aaf9f0dfaf7544abeab2b61760de221bef3fa7c.html
2022 RAV4 XLE AWDXLE Premium AWD,"$35,249.50","25,149 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.b49acd3e01a451c5ae735f8c0639c8cbfd6d96e768762ace0cb1cfe1af36201cb42843bd6919236bc38e7e5088566695.html
2024 RAV4 LE AWDStandard Package,"$34,794","40,484 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.07720bd830e6e4268d3b1dc02f7cf0459082254fdd08aff0b31a45a1f120cba3010e4f70749eb8402f6a659ca502cabc.html
2024 RAV4 LE AWDStandard Package,"$35,499","13,124 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.371c1823d4096504e971161046a0716a6b52beac9ef030263f918128434497a1340c633fb91bd385a8dc007b86c3e279.html
2019 RAV4 XLE AWDXLE AWD,"$30,081.50","72,468 km",Automatic,"48  km away  Georgetown Toyota, Georgetown, ON",https://certifiedtoyota.ca/en/vehicle-details.7210b0b04a352a3ad62f1d651fc2680968fc4169df5812b8d9dc78d2342bfcd25ac68ce378ef99c03a168a71a6a57078.html
2023 RAV4 LE AWDStandard Package,"$36,081.50","24,146 km",Automatic,"48  km away  Georgetown Toyota, Georgetown, ON",https://certifiedtoyota.ca/en/vehicle-details.a3a47c6aa25e63d4213d3048e7560c3f3d37e5e6bc6d025c61fb78a9303b12ef1830b8042579cfaf6cf813362b63d74a.html
2020 RAV4 XLE FWDStandard Package,"$29,027","73,030 km",Automatic,"58  km away  Performance Toyota, St Catharines, ON",https://certifiedtoyota.ca/en/vehicle-details.03b919393623b7bbbd279e29a080cfe0bdb47d15d558091f331d87bcdd9e924c04cbc7348c8bc1c61f09b5cbbee6d50c.html
2020 RAV4 LE FWDStandard Package,"$27,027","53,225 km",Automatic,"58  km away  Performance Toyota, St Catharines, ON",https://certifiedtoyota.ca/en/vehicle-details.485816e2b5f10f9b59faef21bc8728800d05e920b942f94edf61394d45255a92a9644e4312284a6e95309436b7d1c8d5.html
2023 RAV4 LE AWDStandard Package,"$33,900","106,336 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.e6ce13c9449bfc212cca524ac04b4a030359108cb8eae7c4425c477e1c1cf57a50a69fd16cc5f8c34f9bbfdc642843d4.html
2024 RAV4 XLE AWDStandard Package,"$40,800","14,880 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.2f0d7be9d5c2661a5b5a8e934ed6f32ee2be2d8eb5e984b42c04eb92d5cf44b17ba4c2cae7e8961201fbbe5f7fa9112f.html
2024 RAV4 XLE AWDStandard Package,"$40,800","16,886 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.b2d30a697f1e12ede319d03a378f9fc4da12000d19a5b1011878bbbfb2d88c5d9e7fed4fe362607b7b6b8b30677903c9.html
2023 RAV4 Hybrid LE AWDStandard Package,"$42,900","51,165 km",Automatic,"71  km away  Upper James Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.5ea1ab42365dc0745b77e711e589660fbfe3640593efdfd13614c4a864226bbbb0cf4154bb02c3b191b3f3e7c25b4891.html
2023 RAV4 XLE AWDStandard Package,"$36,900","25,521 km",Automatic,"71  km away  Upper James Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.fa6fabd4e1f83387da9ccbcdf7e0ff7f5347d35f013cae9ea6ea8727715a665481a1c59682ae4ec1f9848470bed4c1d3.html
2023 RAV4 Hybrid XSE AWDStandard Package,"$46,087","41,060 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.5bf2254661e8651429aaad27d6415ffef50347ebb13a428d80659fc8773435cd35e42d650f10e95368c51b21afd97513.html
2023 RAV4 LE AWDStandard Package,"$33,687","58,474 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.b5c7045978f0dc1c65f99d4978e52aad80a903b73b5c00e5ca62c75ce1a8564908f96e2668bfdc204e8abe6540535b74.html
2024 RAV4 Hybrid LE AWDStandard Package,"$40,187","37,203 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.df3523008de5c53da514e634909bb03bda1c6852e8a9bde4e082925b9c55d74a1f6599bbb2073afe4c87ef14698e4a5d.html
2024 RAV4 XLE AWDXLE Premium AWD,"$41,687","10,563 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.d43cd336fe98b1a45fc942cf98129ee0172aca12f028a7bad44ac0d5f72eebf2b1896a1779ee531cdc329ec723c1cbdd.html
2025 RAV4 XLE AWDXLE Premium AWD,"$42,187",725 km,Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.a59245e0db3292960c7991c674f3cb32014b8e1ebe17cc98de5aac4828a802313c1127e145c8efb0ac91fc1d2056f7c7.html
2024 RAV4 XLE AWDStandard Package,"$40,034.50","21,445 km",Automatic,"78  km away  Jackson's Toyota, Barrie, ON",https://certifiedtoyota.ca/en/vehicle-details.69a29b1efb5015b5bd233dbee93fb7221da7a6b1f0efe6b87dfeebfff6c64d31450dca6836e2bb268a83e2536ef5e0af.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$40,984","47,793 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.d98d2b6ad80553d56c05bc43fa9203cd8a84495080c1bc504fcfefca1f4b69629704a3270c65e9ece3d4b26bcecc849d.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,"$41,998","33,391 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.1f23a501781248353f140cf1a41854663fbcd93d83bcb1a6e4fb225301da3aac83d9841e3ef90ad435617515e4c9bb2e.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$46,588","16,904 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.5dd25f4d1de57bae4f6422e52aaa3419c075d1f442dd1896ed14f4da1891531d1b8f86f8177d38ba44d85abcf628e06f.html
2021 RAV4 LE FWDStandard Package,"$29,650.50","28,835 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.f96d745313888ae1a0cacf42d592c967eb3ad2d3e17b194e1dd9310fb2d8d98073d4f4a9f2474ff1298dfc16089dc2ea.html
2021 RAV4 XLE AWDStandard Package,"$33,250.50","60,937 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.d9cf54e6631ed9b2a85b92da27f4b9412a7e09225cd4fe195336ede336045b18c625b801fb9837dc31ea19a5479c2c14.html
