Car Name with Year,Price,Mileage,Model Year,Value Score,Location (km),Link
2023 RAV4 LE AWDStandard Package,35500.0,26260.0,2023,74.55444170172154,30,https://certifiedtoyota.ca/en/vehicle-details.ad72e8291737cbdab4134a10ee5d45bbee207e78793b0f6551393de3a46748aaea6ad333df9dbdabe08e5ea0112b9855.html
2023 RAV4 XLE AWDStandard Package,39998.0,17600.0,2023,74.35165458594454,6,https://certifiedtoyota.ca/en/vehicle-details.454a11c54722275592c43c7cc84653fa80c1af28366e7f93295f72ac70975f780c34c9d07d29944c5763f0a44ea9822b.html
2023 RAV4 XLE AWDStandard Package,36900.0,25521.0,2023,73.31056001834781,71,https://certifiedtoyota.ca/en/vehicle-details.fa6fabd4e1f83387da9ccbcdf7e0ff7f5347d35f013cae9ea6ea8727715a665481a1c59682ae4ec1f9848470bed4c1d3.html
2022 RAV4 LE AWDStandard Package,33998.0,19360.0,2022,71.47883711245684,6,https://certifiedtoyota.ca/en/vehicle-details.6cffcbe4ccd0e042cdee61973e3ac3c620b15c6fbd1e3e815d00a6868836161a527612251bc89d45577a89b12e5e3754.html
2022 Toyota RAV4 XLE 4dr All-Wheel Drive(MK),35990.0,17397.0,2022,70.25909675238917,0,https://www.markville.com/used/vehicle/2022-toyota-rav4-xle-id14020053.htm
2023 RAV4 LE AWDStandard Package,33499.0,37544.0,2023,70.15951379375096,37,https://certifiedtoyota.ca/en/vehicle-details.01a6e78b99d85d51999b578c6dae2bb7d8988841f80d83f6b82f1951b97ec55b4f1a3ea71a2ac335b0c9427783f08fed.html
2023 RAV4 XLE AWDXLE Premium AWD,38188.0,28672.0,2023,69.85412605391907,14,https://certifiedtoyota.ca/en/vehicle-details.80c5e7c911c623b8a32aee01d38e8eebd06d229765db0d63b5c93f917a0b047de408c9c287383fafb92637f2725a292c.html
2022 RAV4 XLE AWDStandard Package,36388.0,17397.0,2022,69.77868441858693,19,https://certifiedtoyota.ca/en/vehicle-details.dc204eedbae4b6073376d2574e9d6efc8b3e8d49bae63bf1e211a4c557e6454606bb6b786628241a2763559e48ae411d.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,41999.0,21641.0,2023,69.49743800206384,37,https://certifiedtoyota.ca/en/vehicle-details.b45efcf13c21452d9b5801e1b5ff42727c3ec96725ce08224e673c29b0968c6eb885a5fbc295a38719b4230eaf6fe2c7.html
2023 RAV4 XLE AWDStandard Package,37888.0,33799.0,2023,67.12193178869153,37,https://certifiedtoyota.ca/en/vehicle-details.0fef5f4591410cba5ec9b66a64c2996e6d0300a56132aca1f77e59dd715712efa749b4bf328207e4dc30c0b524dcf31b.html
2022 RAV4 LE AWDStandard Package,34982.5,24726.0,2022,67.05192195110065,36,https://certifiedtoyota.ca/en/vehicle-details.d056946fe59cb2f02d1b2d6eafa4fd7ed7809b316172aaef674515a4cc8b78d9c6120cccb65ddb1445e4bd3a23756c23.html
2022 RAV4 XLE AWDXLE Premium AWD,35249.5,25149.0,2022,66.47434079099025,47,https://certifiedtoyota.ca/en/vehicle-details.b49acd3e01a451c5ae735f8c0639c8cbfd6d96e768762ace0cb1cfe1af36201cb42843bd6919236bc38e7e5088566695.html
2024 RAV4 XLE AWDXLE Premium AWD,40436.0,47403.0,2024,64.88885938282827,337,https://certifiedtoyota.ca/en/vehicle-details.e4dca8760a27dedd15bcafc04d0a96a04793ebce4180de3c49e95414e90b10d9c61aa34b321650f5e7f8a04775c18076.html
2023 RAV4 LE AWDStandard Package,33495.0,47401.0,2023,64.21531646257202,429,https://certifiedtoyota.ca/en/vehicle-details.1bdddc3767e14ed5a910e6a0c9230af911517aa39b671736358685fce8bb7fe045806c809d6715d3a11219592daf7f70.html
2022 RAV4 XLE AWDStandard Package,36982.5,25991.0,2022,63.87432027086767,36,https://certifiedtoyota.ca/en/vehicle-details.535ca8b156634f9ff09e66fc41709aff774544071ec220c8bf164432fa3feb9c4516f89b73f55687574ae532b13e864f.html
2023 RAV4 XLE AWDXLE Premium AWD,37388.0,40622.0,2023,63.607558648327675,14,https://certifiedtoyota.ca/en/vehicle-details.b6ded9a938052f0695accacd60d5cc8455a27a4456efc4256467a90df6cee1bb84db4fea0641ecdd8039c408f644bfee.html
2024 RAV4 Limited AWDStandard Package,45888.5,38967.0,2024,63.398736201725534,348,https://certifiedtoyota.ca/en/vehicle-details.f22263d4259cf50852d4d09fee910cdeff5af03af9edccb3585db06f5b623abd9abdb5a147b7eeb20bf92d89acb5e69c.html
2023 RAV4 XLE AWDStandard Package,38888.0,39024.0,2023,62.761405266431126,333,https://certifiedtoyota.ca/en/vehicle-details.1c2b6aaff2a3eb33153e395eb3246ba2c8aa336a939bd258b4aae615713a21845de5107a13e93934e8eb8d8cdf83b53e.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,41998.0,33391.0,2023,62.40713134690322,79,https://certifiedtoyota.ca/en/vehicle-details.1f23a501781248353f140cf1a41854663fbcd93d83bcb1a6e4fb225301da3aac83d9841e3ef90ad435617515e4c9bb2e.html
2021 RAV4 XLE AWDStandard Package,35998.0,15552.0,2021,62.309962520597814,6,https://certifiedtoyota.ca/en/vehicle-details.1045e99bd4be91659286aeb2ee731d1d8df720071ace8e0dd918464bf106d83a3c0f493a5599b6b7d2038495296d99b4.html
2021 RAV4 LE FWDStandard Package,29650.5,28835.0,2021,61.95508506798877,84,https://certifiedtoyota.ca/en/vehicle-details.f96d745313888ae1a0cacf42d592c967eb3ad2d3e17b194e1dd9310fb2d8d98073d4f4a9f2474ff1298dfc16089dc2ea.html
2023 RAV4 XLE AWDXLE Premium AWD,38900.0,40926.0,2023,61.599000549214686,33,https://certifiedtoyota.ca/en/vehicle-details.49c4b416d85a21d86d72ebfac28c18b05e79f2834ebc508d086ea36a716ffab41e8dc03c154486f8462416f00560ec1b.html
2022 RAV4 XLE AWDStandard Package,35900.0,32015.0,2022,61.545286104858555,33,https://certifiedtoyota.ca/en/vehicle-details.ebe1845a659dc48d54ffe60cb1470c5cecf14db6ec103f199b24f5d406936f6db7cbd2e7dd97b29204daf5cb51434566.html
2021 RAV4 XLE FWDStandard Package,31998.0,25258.0,2021,61.280335081567486,180,https://certifiedtoyota.ca/en/vehicle-details.702882e1ae270baaa863c903d832fb2abd8d948b245db957d0a2bad37146f3fd1911ffb604d425d803314e26ae175613.html
2022 RAV4 LE FWDStandard Package,32998.0,39074.0,2022,60.7878520861122,180,https://certifiedtoyota.ca/en/vehicle-details.8a8a733ad4bdbb691a2c2f7168dd6b5461830a891bb7d04d23fb51100ffe3c7acf319207a608750e3323cb6bd1e83a32.html
2022 RAV4 XLE AWDXLE Premium AWD,37998.0,29381.0,2022,60.602567429735,6,https://certifiedtoyota.ca/en/vehicle-details.97e6037a0b8b0bcd91947375a1df9f82de2d916315c2d0f9e082a0844cf7876ba314eba3cc5ed8ea95491f9537200a5e.html
2020 RAV4 XLE AWDStandard Package,32888.0,11932.0,2020,59.19573181403845,18,https://certifiedtoyota.ca/en/vehicle-details.3366da45e27ae32447b5f8f811d20b3f675bd4903d559055fa625a708283d4b173c73ddf59f7889ca58589ab43753d81.html
2023 RAV4 LE AWDStandard Package,33995.0,54866.0,2023,59.106408917804366,124,https://certifiedtoyota.ca/en/vehicle-details.4a40e112b4781f71666d1d8c31b73500df448a54bb3c834c9b088f463470bec008bfb0811a339087adbe51b62745c474.html
2024 RAV4 Limited AWDStandard Package,43995.0,50001.0,2024,59.024931951644334,124,https://certifiedtoyota.ca/en/vehicle-details.aa7ae1c68622d37d76b2e140c525c40f1769747a4d60413865ccf809c93d05c320f2bd005f96ba0c90b2a24d9321eb38.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,43998.0,36658.0,2023,58.02125643517173,6,https://certifiedtoyota.ca/en/vehicle-details.426ee8219d5176ba2fd9b29f0502791e7d020facaea8f560350e1343b8df5c9d5d083ba5ae6c2bd318c12f4a6f970987.html
2022 RAV4 XLE AWDStandard Package,33700.0,42434.0,2022,57.91262048029443,19,https://certifiedtoyota.ca/en/vehicle-details.977be031d03793731cb314c235183364d9e2c274fdc60c1b4da4dde3ca588e9670e5355806c88e406bc876f16f53595d.html
2023 RAV4 LE AWDStandard Package,33687.0,58474.0,2023,57.30063793446837,75,https://certifiedtoyota.ca/en/vehicle-details.b5c7045978f0dc1c65f99d4978e52aad80a903b73b5c00e5ca62c75ce1a8564908f96e2668bfdc204e8abe6540535b74.html
2024 RAV4 XLE AWDStandard Package,36888.0,70100.0,2024,55.473139760156364,18,https://certifiedtoyota.ca/en/vehicle-details.ceea9d28bb7cfc2f932b24ac5ddd4972c2cd239d339b654d1a435fe4da4b49959414c5ac8533c9f7a44a21238b0c2675.html
2022 RAV4 XLE AWDStandard Package,35588.0,43843.0,2022,54.7833014466681,14,https://certifiedtoyota.ca/en/vehicle-details.c6d9957ccff9ed01a27948fde2d51e6634fcc5b45cfe49cbcd9e1be1fc61cc7bde0fba77a2047c949ac1d2d3018287b4.html
2022 RAV4 XLE AWDStandard Package,35982.5,43643.0,2022,54.427820460977905,161,https://certifiedtoyota.ca/en/vehicle-details.0b4bc8edb98ac37ac850b0be23233bdd4637b6c1cef1e1aa4bff5319484305e0744ead9deffb18198c954363353e0324.html
2023 RAV4 XLE AWDStandard Package,36982.5,57170.0,2023,54.10975852641459,161,https://certifiedtoyota.ca/en/vehicle-details.d4a8987a59d32d02955965caf11281b96d5d8791655e9977dfcf684de523223b2461246ee9dfa1dfffe8e4a066805cc6.html
2022 RAV4 XLE AWDStandard Package,35500.0,46800.0,2022,53.10487594377695,33,https://certifiedtoyota.ca/en/vehicle-details.d3b1749ccb5c2028f154d9374c3200be5b303d02ee09077967f04728a0cebf7166247398d842e3189c346910fd949d26.html
2023 RAV4 LE AWDStandard Package,33450.5,66691.0,2023,52.62687774230477,84,https://certifiedtoyota.ca/en/vehicle-details.0acf650e3614bbaa708ff73a67a5433673bdc7678c799de3ff532c3a1affb4dcf9bf480f647fd4d4f04eee835d752d8d.html
2023 RAV4 XLE AWDXLE Premium AWD,39500.0,54709.0,2023,52.55626437163274,33,https://certifiedtoyota.ca/en/vehicle-details.e83b143a217b03d0bfe2462ac7e7093784e3faa887ee8f3cad4b70d74127121fe99016a887415a4673ac58bb634940c9.html
2020 RAV4 XLE AWDStandard Package,36998.0,15200.0,2020,52.262343760372744,6,https://certifiedtoyota.ca/en/vehicle-details.f71f8b60ae1f31d383b7051b3559f167c915176f06fdf3d6392d6c28045f6eb6d381c8f0c005e0c1bd1561651b5019b1.html
2022 RAV4 Trail AWDStandard Package,39488.0,41036.0,2022,51.76986076492022,96,https://certifiedtoyota.ca/en/vehicle-details.afe7b1e71990c53940e19e63f1664840ac7c691e098978362de2f95a9f4f94c1e1011363506c586bd6106507e8f8298c.html
2021 RAV4 Limited AWDStandard Package,35399.0,35925.0,2021,50.73721566047593,19,https://certifiedtoyota.ca/en/vehicle-details.5f6d9ca9a05485834556d87876259c75e482c0c6a0ac910c357f29ea781b23b0f0cdcdc5bbd460493d66c07660c94e90.html
2021 RAV4 LE FWDStandard Package,28852.0,55325.0,2021,46.931336041187635,294,https://certifiedtoyota.ca/en/vehicle-details.2dbb9f5b5287337ae729841f094c1883e267960d8112589b2f8681792bd0760f58943dcfad677d4cb0d22fc1e48b0cb6.html
2023 RAV4 LE AWDStandard Package,31888.5,82632.0,2023,44.89139422177566,348,https://certifiedtoyota.ca/en/vehicle-details.f92f479dfc6838da76a70588cce791ac7d3df510db3d92c5067addf6bec6666c25970790c6f5f01779433b5323175471.html
2022 RAV4 XLE AWDStandard Package,35982.5,61284.0,2022,43.78089334966918,36,https://certifiedtoyota.ca/en/vehicle-details.4e273bf8057669e31315c9ef5470d1cc3c0fa6086ef2d3236f66758e482661881c0a4ba540e65afd480f82aff5c1ad80.html
2020 RAV4 LE FWDStandard Package,27027.0,53225.0,2020,41.34865502652403,58,https://certifiedtoyota.ca/en/vehicle-details.485816e2b5f10f9b59faef21bc8728800d05e920b942f94edf61394d45255a92a9644e4312284a6e95309436b7d1c8d5.html
2022 RAV4 XLE AWDStandard Package,34988.0,67976.0,2022,40.942477261891646,96,https://certifiedtoyota.ca/en/vehicle-details.0f76764938b6d5957cc781bb2210c421adbf9983bde611e9b9aa2224c860b261119d932ca7cb90d2b4a931967e74d177.html
2023 RAV4 XLE AWDXLE Premium AWD,37900.0,78615.0,2023,40.05950836195212,33,https://certifiedtoyota.ca/en/vehicle-details.137e9cd65a95aefb6687e4d58105984554af8a3f1b5c19583a5449f2982d4929fa31a439936a9419bf7977af20b2082b.html
2021 RAV4 Limited AWDStandard Package,37188.0,51487.0,2021,39.18559245824893,14,https://certifiedtoyota.ca/en/vehicle-details.4a041d008355cf1e052377face178b3336ca581041bb275b822cd2563689089e7dbc19bba406c481cb6892dd703477c2.html
2022 RAV4 LE AWDStandard Package,31888.5,78375.0,2022,38.407638314694346,348,https://certifiedtoyota.ca/en/vehicle-details.a7325f66cb725c0668bf6603f3067b15e4e331ca825add50a2a5a7d3c2656d449ee93e6c1da91162a73d0bde57b33cc0.html
2021 RAV4 XLE AWDStandard Package,33250.5,60937.0,2021,38.235027853054056,84,https://certifiedtoyota.ca/en/vehicle-details.d9cf54e6631ed9b2a85b92da27f4b9412a7e09225cd4fe195336ede336045b18c625b801fb9837dc31ea19a5479c2c14.html
2022 RAV4 LE AWDStandard Package,31995.0,78462.0,2022,38.226578389896105,125,https://certifiedtoyota.ca/en/vehicle-details.a24a5a1e731871ed5c5f1c4161d6d9f6a8102740006a58ac155345cf0a45b06ea301e0d6e6b5362bb646e1aeabb27f4e.html
2022 RAV4 XLE AWDXLE Premium AWD,33995.0,74641.0,2022,38.11854596809721,124,https://certifiedtoyota.ca/en/vehicle-details.256463962adb8f3645dd57792312e7eddf1ddf3f0d74beb4206f5810e15be565b2ab349864b9c5b2b799ba0def8e14d7.html
2022 RAV4 Trail AWDStandard Package,39982.5,63106.0,2022,37.85299141172499,930,https://certifiedtoyota.ca/en/vehicle-details.b3223948bfcebbd3fdf4c3cbb10bb7bef7f674e17f8bcc1f0b0769089ad72bafe4cdd80cc5663a04b06c20644ce6519b.html
2022 RAV4 LE AWDStandard Package,31888.5,81144.0,2022,36.736455208793366,348,https://certifiedtoyota.ca/en/vehicle-details.afcfb5bc31f9f0d8e8aa729545bcc274ecb61d0faf4ffd9763ac9a518876c04c116dc3133c411a5105b149d26a899b68.html
2022 RAV4 LE AWDStandard Package,31888.5,82042.0,2022,36.19448250055819,348,https://certifiedtoyota.ca/en/vehicle-details.a50604960703ebea269e04f665acd4b512fbed9256dac8f645f231c8cb62dab28cf4d915ab3de786e2a2d85844a33323.html
2022 RAV4 LE AWDStandard Package,31888.5,83673.0,2022,35.21012004273153,348,https://certifiedtoyota.ca/en/vehicle-details.a50bed700a149bee455c8312e105c8c738f0aba0083473a6033892596b3d6889cb498f013d64a5880a6d704f6bad07ec.html
2022 RAV4 XLE AWDStandard Package,33888.5,84737.0,2022,32.153828512110024,348,https://certifiedtoyota.ca/en/vehicle-details.d85323912237c166588391f041250431df43d9a7b247bdfe255342da936790fe2e0915f51aff0457e54045bded41c04e.html
2020 RAV4 LE FWDStandard Package,26998.0,72529.0,2020,29.733057317536765,6,https://certifiedtoyota.ca/en/vehicle-details.cada31e8d003da90735dd98f63b2bff7673ba15aaf9db80c0de4dfef2ed6aaa891e8d9985e1a9627f5a9b1808b2b864a.html
2020 RAV4 XLE FWDStandard Package,28995.0,69975.0,2020,28.86396967849918,92,https://certifiedtoyota.ca/en/vehicle-details.d7cfe5238583ec27b421caeb9b012b7ac3781e34f171094582c7eba45c14a55981361ef9399468980bfe1f1a04b9116d.html
2021 RAV4 XLE AWDXLE Premium AWD,33998.0,75323.0,2021,28.65031896723693,180,https://certifiedtoyota.ca/en/vehicle-details.a405ce80b58702f2d52a06d5ce336a779939b573bb7d8ec0b645817d7c225f0f465e309fe8015f95828ac8ebf9415b59.html
2023 RAV4 LE AWDStandard Package,33900.0,106336.0,2023,28.157232438695022,64,https://certifiedtoyota.ca/en/vehicle-details.e6ce13c9449bfc212cca524ac04b4a030359108cb8eae7c4425c477e1c1cf57a50a69fd16cc5f8c34f9bbfdc642843d4.html
2020 RAV4 XLE FWDStandard Package,29027.0,73030.0,2020,26.98154999366327,58,https://certifiedtoyota.ca/en/vehicle-details.03b919393623b7bbbd279e29a080cfe0bdb47d15d558091f331d87bcdd9e924c04cbc7348c8bc1c61f09b5cbbee6d50c.html
2022 RAV4 XLE AWDStandard Package,33500.0,96759.0,2022,25.367098997532366,33,https://certifiedtoyota.ca/en/vehicle-details.7b13a619507a36e68b2b9708cd5167601f924ec4f04ba6c4bb5ffb7ba0a0f7adec631ccd5d86e8b87c5512e261c45844.html
2020 RAV4 LE FWDStandard Package,27588.0,82749.0,2020,22.85278017514604,6,https://certifiedtoyota.ca/en/vehicle-details.5e62cf7e43757649e0bd07197ecbcb7bf7fa93ac47b64c3f94872bf4acffb03f163db7c076cb7ac0853af8150c60e4e0.html
2020 RAV4 LE AWDStandard Package,27900.0,85516.0,2020,20.806199491827783,33,https://certifiedtoyota.ca/en/vehicle-details.4db9c9ea8726609954e156d7b9931c23ce138c60b483cc9204615e45a81fd33dd182208509cd4fcdc51bc6d09be1dcce.html
2020 RAV4 Trail AWDRAV4 Trail AWD,32588.0,76285.0,2020,20.718687194839863,14,https://certifiedtoyota.ca/en/vehicle-details.b5c85baeaf5a9e5903a14727e672b2afd46014a88100452bf1c586d81ed81af3f4d59b38548d81551e369c676958d40e.html
2019 RAV4 XLE AWDXLE AWD,30081.5,72468.0,2019,16.994888074792737,48,https://certifiedtoyota.ca/en/vehicle-details.7210b0b04a352a3ad62f1d651fc2680968fc4169df5812b8d9dc78d2342bfcd25ac68ce378ef99c03a168a71a6a57078.html
2021 RAV4 XLE AWDXLE Premium AWD,31588.0,104087.0,2021,14.199322835883333,6,https://certifiedtoyota.ca/en/vehicle-details.87941e31625bf97478880937f5b2bfba32dc5e02c0abdafac5d296ddefb9ac1708648371e194aeb696cfe998de72f208.html
2019 RAV4 XLE FWDXLE FWD,26888.5,95471.0,2019,6.965978840132474,348,https://certifiedtoyota.ca/en/vehicle-details.799c0e545c3f054b30d8c29bce016527a3399d31974d3c0fc3b93c4a08e653aa6436de8c99b3989822fa54bccbef3aaf.html
2018 RAV4 FWD LELE UPGRADE/OPTIONAL - 3T3 RUBY RED EXTERIOR,20888.0,92860.0,2018,6.731808004056497,18,https://certifiedtoyota.ca/en/vehicle-details.932205e1c9f1722fa6e59e5a97f14ea8dddbfe769da5cfea0cb98d398b3102b69a9c9fd8b499fe272021b04e59efc762.html
2019 RAV4 XLE AWDXLE AWD,26495.0,107800.0,2019,0.0,429,https://certifiedtoyota.ca/en/vehicle-details.840049d53e81a56e51a00017a59f9636d91fafaeb5dac2e930dd98512e302dbf5e515ee9cd48172c780451188c9ff10d.html
